task,layer,position,mean_auroc,std_auroc,n_seeds,n_train,n_test
B,57,entity,0.5,0.0,3,640,80
B,57,final,1.0,0.0,3,640,80
B,58,entity,0.5,0.0,3,640,80
B,58,final,1.0,0.0,3,640,80
B,59,entity,0.5,0.0,3,640,80
B,59,final,1.0,0.0,3,640,80
B,60,entity,0.5,0.0,3,640,80
B,60,final,1.0,0.0,3,640,80
B,61,entity,0.5,0.0,3,640,80
B,61,final,1.0,0.0,3,640,80
B,62,entity,0.5,0.0,3,640,80
B,62,final,1.0,0.0,3,640,80
B,63,entity,0.5,0.0,3,640,80
B,63,final,1.0,0.0,3,640,80
B,64,entity,0.5,0.0,3,640,80
B,64,final,0.999375,0.0,3,640,80
B,65,entity,0.5,0.0,3,640,80
B,65,final,1.0,0.0,3,640,80
B,66,entity,0.49999999999999994,0.0,3,640,80
B,66,final,1.0,0.0,3,640,80
B,67,entity,0.49999999999999994,0.0,3,640,80
B,67,final,0.999375,0.0,3,640,80
B,68,entity,0.49999999999999994,0.0,3,640,80
B,68,final,0.999375,0.0,3,640,80
B,69,entity,0.5,0.0,3,640,80
B,69,final,1.0,0.0,3,640,80
B,70,entity,0.5,0.0,3,640,80
B,70,final,0.999375,0.0,3,640,80
B,71,entity,0.49999999999999994,0.0,3,640,80
B,71,final,1.0,0.0,3,640,80
B,72,entity,0.5,0.0,3,640,80
B,72,final,1.0,0.0,3,640,80
B,73,entity,0.5,0.0,3,640,80
B,73,final,1.0,0.0,3,640,80
B,74,entity,0.49999999999999994,0.0,3,640,80
B,74,final,1.0,0.0,3,640,80
B,75,entity,0.5,0.0,3,640,80
B,75,final,1.0,0.0,3,640,80
B,76,entity,0.5,0.0,3,640,80
B,76,final,1.0,0.0,3,640,80
B,77,entity,0.5,0.0,3,640,80
B,77,final,0.9987499999999999,0.0,3,640,80
B,78,entity,0.5,0.0,3,640,80
B,78,final,1.0,0.0,3,640,80
B,79,entity,0.5,0.0,3,640,80
B,79,final,0.9987499999999999,0.0,3,640,80
C,0,entity,0.998125,0.0,3,480,80
C,0,final,1.0,0.0,3,480,80
C,1,entity,0.965,0.0,3,480,80
C,1,final,1.0,0.0,3,480,80
C,2,entity,0.9725,0.0,3,480,80
C,2,final,1.0,0.0,3,480,80
C,3,entity,0.985,0.0,3,480,80
C,3,final,1.0,0.0,3,480,80
C,4,entity,1.0,0.0,3,480,80
C,4,final,1.0,0.0,3,480,80
C,5,entity,0.99625,0.0,3,480,80
C,5,final,0.725,0.0,3,480,80
C,6,entity,0.9981249999999999,0.0,3,480,80
C,6,final,0.725,0.0,3,480,80
C,7,entity,1.0,0.0,3,480,80
C,7,final,0.8143750000000001,0.0,3,480,80
C,8,entity,1.0,0.0,3,480,80
C,8,final,0.734375,0.0,3,480,80
C,9,entity,1.0,0.0,3,480,80
C,9,final,0.8137500000000001,1.1102230246251565e-16,3,480,80
C,10,entity,0.999375,0.0,3,480,80
C,10,final,0.8325,0.0,3,480,80
C,11,entity,0.998125,0.0,3,480,80
C,11,final,0.89125,1.1102230246251565e-16,3,480,80
C,12,entity,1.0,0.0,3,480,80
C,12,final,0.7231249999999999,0.0,3,480,80
C,13,entity,1.0,0.0,3,480,80
C,13,final,0.705625,0.0,3,480,80
C,14,entity,1.0,0.0,3,480,80
C,14,final,0.6999999999999998,1.1102230246251565e-16,3,480,80
C,15,entity,1.0,0.0,3,480,80
C,15,final,0.6743750000000001,0.0,3,480,80
C,16,entity,1.0,0.0,3,480,80
C,16,final,0.6750000000000002,1.1102230246251565e-16,3,480,80
C,17,entity,0.9968749999999998,1.1102230246251565e-16,3,480,80
C,17,final,0.6862499999999999,1.1102230246251565e-16,3,480,80
C,18,entity,0.9987499999999999,1.1102230246251565e-16,3,480,80
C,18,final,0.7287499999999999,0.0,3,480,80
C,19,entity,0.995625,0.0,3,480,80
C,19,final,0.73,0.0,3,480,80
C,20,entity,0.9987499999999999,1.1102230246251565e-16,3,480,80
C,20,final,0.7568750000000001,0.0,3,480,80
C,21,entity,0.995625,0.0,3,480,80
C,21,final,0.8231249999999998,1.1102230246251565e-16,3,480,80
C,22,entity,0.9987499999999999,1.1102230246251565e-16,3,480,80
C,22,final,0.95375,0.0,3,480,80
C,23,entity,0.979375,0.0,3,480,80
C,23,final,0.92125,1.1102230246251565e-16,3,480,80
C,24,entity,0.9775,0.0,3,480,80
C,24,final,0.9625,0.0,3,480,80
C,25,entity,0.988125,0.0,3,480,80
C,25,final,0.9475000000000001,1.1102230246251565e-16,3,480,80
C,26,entity,0.991875,1.1102230246251565e-16,3,480,80
C,26,final,0.9587499999999999,1.1102230246251565e-16,3,480,80
C,27,entity,0.9968750000000001,0.0,3,480,80
C,27,final,0.9281250000000001,0.0,3,480,80
C,28,entity,0.9962500000000002,1.1102230246251565e-16,3,480,80
C,28,final,0.9175,0.0,3,480,80
C,29,entity,0.9975,0.0,3,480,80
C,29,final,0.9199999999999999,0.0,3,480,80
C,30,entity,0.999375,0.0,3,480,80
C,30,final,0.970625,0.0,3,480,80
C,31,entity,1.0,0.0,3,480,80
C,31,final,0.9975,0.0,3,480,80
C,32,entity,1.0,0.0,3,480,80
C,32,final,0.9975,0.0,3,480,80
C,33,entity,1.0,0.0,3,480,80
C,33,final,1.0,0.0,3,480,80
C,34,entity,1.0,0.0,3,480,80
C,34,final,1.0,0.0,3,480,80
C,35,entity,1.0,0.0,3,480,80
C,35,final,1.0,0.0,3,480,80
C,36,entity,1.0,0.0,3,480,80
C,36,final,1.0,0.0,3,480,80
C,37,entity,1.0,0.0,3,480,80
C,37,final,1.0,0.0,3,480,80
C,38,entity,1.0,0.0,3,480,80
C,38,final,1.0,0.0,3,480,80
C,39,entity,1.0,0.0,3,480,80
C,39,final,1.0,0.0,3,480,80
C,40,entity,1.0,0.0,3,480,80
